                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                  1.283,                0.73117,                 2.0839,                0.87668,                0.86319,                0.86744,                0.57077,                 1.1652,                0.91078,                 2.2086,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.2648,                0.73535,                  2.048,                0.91928,                0.92912,                 0.9309,                0.63732,                 1.1384,                0.63135,                 2.1331,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.2456,                0.77591,                 2.0483,                0.93202,                0.97264,                0.92632,                 0.6259,                 1.2112,                0.64157,                 2.2698,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.2253,                  0.716,                 2.0347,                0.78428,                0.75156,                0.79706,                0.45854,                 1.5334,                 1.7809,                 3.0398,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.2415,                0.70644,                 2.0477,                0.79898,                0.90599,                0.90731,                0.53618,                 1.5313,                  1.025,                 2.9268,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.2995,                0.72835,                 2.0883,                0.92972,                0.97266,                0.93414,                0.64041,                 1.1432,                0.64091,                 2.1165,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.2699,                0.70954,                 2.0511,                0.94069,                0.95455,                0.92374,                0.60869,                 1.2017,                0.74816,                 2.1568,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.2079,                0.68984,                 1.9906,                0.92749,                0.92727,                0.92865,                0.63819,                 1.1713,                0.70212,                 2.1973,               0.008713,               0.008713,               0.008713
                    132,                 1.2035,                0.67949,                 2.0245,                0.92927,                 0.9714,                0.93708,                0.63452,                 1.1496,                0.58407,                 2.1605,              0.0087031,              0.0087031,              0.0087031
                    133,                 1.2432,                0.70354,                 2.0071,                0.91519,                0.97056,                0.91879,                0.59098,                 1.2017,                0.66837,                 2.0993,              0.0086932,              0.0086932,              0.0086932
